This experiment is different from the 40 epochs experiment except for the edge weights being removed from the regularization

epoch 0   train loss: 3.7536  acc: 0.1422   val loss: 4.1592  acc: 0.2030   test loss: 4.1741  acc: 0.2075
epoch 22   train loss: 2.5707  acc: 0.9489   val loss: 3.3028  acc: 0.6977   test loss: 3.2104  acc: 0.7383
epoch 23   train loss: 2.5620  acc: 0.9504   val loss: 3.3156  acc: 0.6962   test loss: 3.2224  acc: 0.7353
epoch 24   train loss: 2.5603  acc: 0.9559   val loss: 3.3271  acc: 0.6962   test loss: 3.2351  acc: 0.7308
epoch 25   train loss: 2.5599  acc: 0.9564   val loss: 3.3336  acc: 0.6962   test loss: 3.2426  acc: 0.7278
epoch 26   train loss: 2.5561  acc: 0.9609   val loss: 3.3386  acc: 0.6917   test loss: 3.2488  acc: 0.7293
epoch 27   train loss: 2.5501  acc: 0.9624   val loss: 3.3406  acc: 0.6902   test loss: 3.2490  acc: 0.7293
epoch 28   train loss: 2.5457  acc: 0.9614   val loss: 3.3497  acc: 0.6902   test loss: 3.2560  acc: 0.7293
epoch 29   train loss: 2.5447  acc: 0.9639   val loss: 3.3524  acc: 0.6887   test loss: 3.2603  acc: 0.7338
epoch 30   train loss: 2.5461  acc: 0.9619   val loss: 3.3620  acc: 0.6932   test loss: 3.2623  acc: 0.7218
epoch 31   train loss: 2.5470  acc: 0.9624   val loss: 3.3560  acc: 0.6872   test loss: 3.2748  acc: 0.7248
epoch 32   train loss: 2.5447  acc: 0.9644   val loss: 3.3526  acc: 0.6932   test loss: 3.2590  acc: 0.7278
epoch 33   train loss: 2.5378  acc: 0.9644   val loss: 3.3452  acc: 0.6962   test loss: 3.2693  acc: 0.7278
epoch 34   train loss: 2.5333  acc: 0.9685   val loss: 3.3406  acc: 0.6932   test loss: 3.2686  acc: 0.7278
epoch 35   train loss: 2.5336  acc: 0.9675   val loss: 3.3388  acc: 0.7008   test loss: 3.2580  acc: 0.7293
epoch 36   train loss: 2.5318  acc: 0.9664   val loss: 3.3331  acc: 0.6962   test loss: 3.2623  acc: 0.7248
epoch 37   train loss: 2.5275  acc: 0.9675   val loss: 3.3329  acc: 0.6932   test loss: 3.2534  acc: 0.7308
epoch 38   train loss: 2.5249  acc: 0.9670   val loss: 3.3290  acc: 0.6977   test loss: 3.2503  acc: 0.7263
epoch 39   train loss: 2.5222  acc: 0.9659   val loss: 3.3220  acc: 0.6977   test loss: 3.2484  acc: 0.7203
epoch 40   train loss: 2.5191  acc: 0.9685   val loss: 3.3179  acc: 0.7023   test loss: 3.2394  acc: 0.7323
epoch 41   train loss: 2.5180  acc: 0.9685   val loss: 3.3117  acc: 0.6977   test loss: 3.2379  acc: 0.7218
epoch 42   train loss: 2.5160  acc: 0.9670   val loss: 3.3079  acc: 0.6962   test loss: 3.2315  acc: 0.7233
epoch 43   train loss: 2.5125  acc: 0.9685   val loss: 3.3056  acc: 0.6947   test loss: 3.2283  acc: 0.7278
epoch 44   train loss: 2.5108  acc: 0.9675   val loss: 3.3029  acc: 0.6947   test loss: 3.2302  acc: 0.7218
epoch 45   train loss: 2.5099  acc: 0.9680   val loss: 3.3012  acc: 0.6932   test loss: 3.2240  acc: 0.7278
epoch 46   train loss: 2.5079  acc: 0.9670   val loss: 3.2974  acc: 0.6902   test loss: 3.2222  acc: 0.7233
epoch 47   train loss: 2.5059  acc: 0.9675   val loss: 3.2947  acc: 0.6917   test loss: 3.2183  acc: 0.7248
epoch 48   train loss: 2.5048  acc: 0.9690   val loss: 3.2910  acc: 0.6992   test loss: 3.2133  acc: 0.7263
epoch 49   train loss: 2.5035  acc: 0.9690   val loss: 3.2864  acc: 0.6932   test loss: 3.2137  acc: 0.7233
epoch 50   train loss: 2.5024  acc: 0.9695   val loss: 3.2837  acc: 0.6962   test loss: 3.2102  acc: 0.7293
epoch 51   train loss: 2.5016  acc: 0.9690   val loss: 3.2800  acc: 0.6947   test loss: 3.2074  acc: 0.7293
epoch 52   train loss: 2.5003  acc: 0.9685   val loss: 3.2779  acc: 0.6917   test loss: 3.2060  acc: 0.7278
epoch 53   train loss: 2.4994  acc: 0.9695   val loss: 3.2758  acc: 0.6917   test loss: 3.2019  acc: 0.7278
epoch 54   train loss: 2.4990  acc: 0.9705   val loss: 3.2723  acc: 0.6932   test loss: 3.1997  acc: 0.7263
epoch 55   train loss: 2.4983  acc: 0.9685   val loss: 3.2697  acc: 0.6932   test loss: 3.1993  acc: 0.7263
epoch 56   train loss: 2.4977  acc: 0.9690   val loss: 3.2654  acc: 0.6932   test loss: 3.1968  acc: 0.7308
epoch 57   train loss: 2.4971  acc: 0.9690   val loss: 3.2629  acc: 0.6902   test loss: 3.1951  acc: 0.7278
epoch 58   train loss: 2.4967  acc: 0.9685   val loss: 3.2624  acc: 0.6917   test loss: 3.1950  acc: 0.7263
epoch 59   train loss: 2.4963  acc: 0.9695   val loss: 3.2609  acc: 0.6902   test loss: 3.1946  acc: 0.7308
epoch 60   train loss: 2.4960  acc: 0.9695   val loss: 3.2616  acc: 0.6917   test loss: 3.1943  acc: 0.7293
epoch 61   train loss: 2.4958  acc: 0.9695   val loss: 3.2612  acc: 0.6932   test loss: 3.1964  acc: 0.7323
epoch 62   train loss: 2.4953  acc: 0.9690   val loss: 3.2597  acc: 0.6947   test loss: 3.1958  acc: 0.7323
epoch 63   train loss: 2.4949  acc: 0.9690   val loss: 3.2599  acc: 0.6947   test loss: 3.1954  acc: 0.7308
epoch 64   train loss: 2.4947  acc: 0.9695   val loss: 3.2591  acc: 0.6947   test loss: 3.1957  acc: 0.7323
epoch 65   train loss: 2.4944  acc: 0.9695   val loss: 3.2582  acc: 0.6947   test loss: 3.1945  acc: 0.7308
epoch 66   train loss: 2.4939  acc: 0.9690   val loss: 3.2591  acc: 0.6947   test loss: 3.1954  acc: 0.7308
epoch 67   train loss: 2.4937  acc: 0.9700   val loss: 3.2583  acc: 0.6932   test loss: 3.1959  acc: 0.7308
epoch 68   train loss: 2.4934  acc: 0.9700   val loss: 3.2587  acc: 0.6917   test loss: 3.1953  acc: 0.7323
epoch 69   train loss: 2.4930  acc: 0.9695   val loss: 3.2593  acc: 0.6917   test loss: 3.1968  acc: 0.7338
epoch 70   train loss: 2.4928  acc: 0.9695   val loss: 3.2589  acc: 0.6947   test loss: 3.1959  acc: 0.7308
